date,store,category,units_sold,revenue,promotion_flag
2022-01-01,Store_A,Apparel,455,8424.49,0
2022-01-01,Store_A,Electronics,832,36107.43,0
2022-01-01,Store_A,Groceries,554,3633.17,0
2022-01-01,Store_B,Apparel,350,6596.35,0
2022-01-01,Store_B,Electronics,546,25133.89,0
2022-01-01,Store_B,Groceries,422,2637.3,0
2022-01-01,Store_C,Apparel,398,7501.52,0
2022-01-01,Store_C,Electronics,686,30018.46,0
2022-01-01,Store_C,Groceries,535,3367.9,0
2022-01-02,Store_A,Apparel,443,8285.07,0
2022-01-02,Store_A,Electronics,1049,47790.33,1
2022-01-02,Store_A,Groceries,481,3134.36,0
2022-01-02,Store_B,Apparel,393,7120.44,1
2022-01-02,Store_B,Electronics,520,23638.8,0
2022-01-02,Store_B,Groceries,417,2803.32,0
2022-01-02,Store_C,Apparel,397,7008.14,0
2022-01-02,Store_C,Electronics,576,24698.67,0
2022-01-02,Store_C,Groceries,484,3207.35,0
2022-01-03,Store_A,Apparel,596,10784.59,0
2022-01-03,Store_A,Electronics,911,40067.04,0
2022-01-03,Store_A,Groceries,673,4244.57,0
2022-01-03,Store_B,Apparel,417,7229.02,0
2022-01-03,Store_B,Electronics,702,32100.11,0
2022-01-03,Store_B,Groceries,394,2560.53,0
2022-01-03,Store_C,Apparel,547,9783.59,0
2022-01-03,Store_C,Electronics,722,32395.27,0
2022-01-03,Store_C,Groceries,576,3917.98,0
2022-01-04,Store_A,Apparel,500,9420.88,0
2022-01-04,Store_A,Electronics,734,32989.82,0
2022-01-04,Store_A,Groceries,613,3965.32,0
2022-01-04,Store_B,Apparel,346,6169.51,0
2022-01-04,Store_B,Electronics,577,27000.51,0
2022-01-04,Store_B,Groceries,464,2903.62,0
2022-01-04,Store_C,Apparel,389,7000.68,0
2022-01-04,Store_C,Electronics,661,28870.36,0
2022-01-04,Store_C,Groceries,523,3270.15,0
2022-01-05,Store_A,Apparel,561,10599.01,0
2022-01-05,Store_A,Electronics,886,38204.52,0
2022-01-05,Store_A,Groceries,638,4270.14,0
2022-01-05,Store_B,Apparel,346,6121.71,0
2022-01-05,Store_B,Electronics,604,27951.81,0
2022-01-05,Store_B,Groceries,454,2837.48,0
2022-01-05,Store_C,Apparel,453,8554.13,0
2022-01-05,Store_C,Electronics,723,32381.25,0
2022-01-05,Store_C,Groceries,497,3197.93,0
2022-01-06,Store_A,Apparel,466,8066.36,0
2022-01-06,Store_A,Electronics,730,32717.23,0
2022-01-06,Store_A,Groceries,572,3751.62,0
2022-01-06,Store_B,Apparel,301,5263.09,0
2022-01-06,Store_B,Electronics,793,36687.45,1
2022-01-06,Store_B,Groceries,416,2611.86,0
2022-01-06,Store_C,Apparel,386,6648.47,0
2022-01-06,Store_C,Electronics,699,30755.91,0
2022-01-06,Store_C,Groceries,472,2983.3,0
2022-01-07,Store_A,Apparel,475,8848.86,0
2022-01-07,Store_A,Electronics,579,25550.74,0
2022-01-07,Store_A,Groceries,474,2956.81,0
2022-01-07,Store_B,Apparel,291,5465.04,0
2022-01-07,Store_B,Electronics,473,22194.26,0
2022-01-07,Store_B,Groceries,357,2378.74,0
2022-01-07,Store_C,Apparel,317,5818.25,0
2022-01-07,Store_C,Electronics,586,26643.48,0
2022-01-07,Store_C,Groceries,424,2679.26,0
2022-01-08,Store_A,Apparel,371,6677.88,0
2022-01-08,Store_A,Electronics,616,28613.64,0
2022-01-08,Store_A,Groceries,472,3082.73,0
2022-01-08,Store_B,Apparel,236,4409.81,0
2022-01-08,Store_B,Electronics,416,19637.16,0
2022-01-08,Store_B,Groceries,355,2356.16,1
2022-01-08,Store_C,Apparel,270,4792.9,0
2022-01-08,Store_C,Electronics,523,24690.28,0
2022-01-08,Store_C,Groceries,435,2719.77,0
2022-01-09,Store_A,Apparel,357,6353.75,0
2022-01-09,Store_A,Electronics,519,22320.32,0
2022-01-09,Store_A,Groceries,422,2798.61,0
2022-01-09,Store_B,Apparel,234,4085.28,0
2022-01-09,Store_B,Electronics,349,15832.65,0
2022-01-09,Store_B,Groceries,392,2472.53,1
2022-01-09,Store_C,Apparel,378,6517.09,1
2022-01-09,Store_C,Electronics,402,18175.44,0
2022-01-09,Store_C,Groceries,385,2539.93,0
2022-01-10,Store_A,Apparel,405,7372.43,0
2022-01-10,Store_A,Electronics,669,29859.97,0
2022-01-10,Store_A,Groceries,544,3639.5,0
2022-01-10,Store_B,Apparel,292,5178.29,0
2022-01-10,Store_B,Electronics,513,22182.1,0
2022-01-10,Store_B,Groceries,473,3181.16,1
2022-01-10,Store_C,Apparel,357,6705.55,0
2022-01-10,Store_C,Electronics,645,29451.37,0
2022-01-10,Store_C,Groceries,468,3116.94,0
2022-01-11,Store_A,Apparel,498,8565.97,0
2022-01-11,Store_A,Electronics,826,37015.49,0
2022-01-11,Store_A,Groceries,539,3548.74,0
2022-01-11,Store_B,Apparel,355,6557.62,0
2022-01-11,Store_B,Electronics,455,20391.32,0
2022-01-11,Store_B,Groceries,436,2772.02,0
2022-01-11,Store_C,Apparel,443,8045.65,0
2022-01-11,Store_C,Electronics,707,33148.93,0
2022-01-11,Store_C,Groceries,468,3095.78,0
2022-01-12,Store_A,Apparel,552,9942.42,0
2022-01-12,Store_A,Electronics,1219,56089.27,1
2022-01-12,Store_A,Groceries,663,4159.81,0
2022-01-12,Store_B,Apparel,409,7147.4,0
2022-01-12,Store_B,Electronics,587,27174.7,0
2022-01-12,Store_B,Groceries,601,4020.95,1
2022-01-12,Store_C,Apparel,388,7161.06,0
2022-01-12,Store_C,Electronics,706,31369.7,0
2022-01-12,Store_C,Groceries,578,3916.54,0
2022-01-13,Store_A,Apparel,517,9651.15,0
2022-01-13,Store_A,Electronics,791,35859.43,0
2022-01-13,Store_A,Groceries,532,3530.68,0
